system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,subsample,tica,250,0,3,3,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,0.3003761278913601
alanine,subsample,tica,250,1,3,3,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,2,0.4514935236584721,0.42546172199475685
alanine,subsample,tica,250,2,3,3,2,0.43119931212458734,7,0.15865610145962827,2,0.43119931212458734,2,0.43119931212458734,3,0.27525612716305675,0.27525612716305675
alanine,subsample,tica,250,3,3,3,2,0.44744879401277304,2,0.44744879401277304,2,0.44744879401277304,2,0.44744879401277304,3,0.27257366625708424,0.27257366625708424
alanine,subsample,tica,250,4,3,3,2,0.45207696654112534,2,0.45207696654112534,2,0.45207696654112534,2,0.45207696654112534,2,0.45207696654112534,0.3425843202638963
alanine,subsample,tica,250,5,3,3,2,0.4481518742722169,3,0.2940652667157215,2,0.4481518742722169,2,0.4481518742722169,2,0.4481518742722169,0.2940652667157215
alanine,subsample,tica,250,6,3,3,2,0.4359707140430167,2,0.4359707140430167,2,0.4359707140430167,2,0.4359707140430167,3,0.27452065263369224,0.27452065263369224
alanine,subsample,tica,250,7,3,3,2,0.43968882316742747,7,0.1488884568344928,2,0.43968882316742747,2,0.43968882316742747,2,0.43968882316742747,0.2789179319475637
alanine,subsample,vae,250,0,3,3,1,0.0,8,0.24562132866288566,1,0.0,3,0.40165057714653707,2,0.6166587526524313,0.40165057714653707
alanine,subsample,vae,250,1,3,3,1,0.0,1,0.0,1,0.0,3,0.3055080945285102,3,0.3055080945285102,0.3055080945285102
alanine,subsample,vae,250,2,3,3,1,0.0,1,0.0,1,0.0,9,0.22038435973206638,3,0.27574544188273376,0.27574544188273376
