system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,vae,1000,1,3,2,1,0.0,6,0.24681405124594843,1,0.0,7,0.16746035777304916,2,0.16099461251852504,0.01452168978895329
alanine,short,vae,1000,2,3,2,2,0.9284914055078706,15,0.12055681654972245,1,0.0,3,0.5467997338722032,3,0.5467997338722032,0.5467997338722032
alanine,short,vae,1000,3,3,2,3,0.463073046059634,8,0.25197857359072173,1,0.0,3,0.463073046059634,3,0.463073046059634,0.463073046059634
alanine,short,vae,1000,4,3,2,3,0.4976638278740547,15,0.09483383142768925,1,0.0,3,0.4976638278740547,3,0.4976638278740547,0.4976638278740547
alanine,short,vae,1000,5,3,2,3,0.5526415197760816,5,0.31329332519476305,1,0.0,3,0.5526415197760816,2,0.9359717896437579,0.5526415197760816
alanine,short,vae,1000,6,3,2,1,0.0,4,0.22265120330956498,1,0.0,3,0.3304307995498981,3,0.3304307995498981,0.3304307995498981
alanine,short,vae,1000,7,3,3,3,0.5511190439610607,5,0.3399311945832072,1,0.0,3,0.5511190439610607,2,0.8766618134023736,0.5511190439610607
alanine,short,pca,2000,0,3,2,9,0.20754447651350358,12,0.1501474469225043,4,0.5230449397320005,3,0.5773267449274704,3,0.5773267449274704,0.5773267449274704
alanine,short,pca,2000,1,3,3,6,0.2710596958767429,12,0.15408889547532884,3,0.5350585450229578,3,0.5350585450229578,3,0.5350585450229578,0.5350585450229578
alanine,short,pca,2000,2,3,3,8,0.23821063443966223,14,0.12294837213299246,4,0.5341617375694213,3,0.5656858723955771,3,0.5656858723955771,0.5656858723955771
alanine,short,pca,2000,3,3,2,7,0.2664373873317743,14,0.15810452656699422,4,0.519484520789245,3,0.5695683256410764,3,0.5695683256410764,0.5695683256410764
alanine,short,pca,2000,4,3,3,6,0.29326676523269724,14,0.10268361287950013,3,0.5036498698395215,3,0.5036498698395215,3,0.5036498698395215,0.5036498698395215
alanine,short,pca,2000,5,3,2,7,0.28791468735586373,12,0.1447385171266619,4,0.48579566386386014,3,0.5454375715786207,3,0.5454375715786207,0.5454375715786207
alanine,short,pca,2000,6,3,2,8,0.17885768323271892,15,0.10328125244609565,4,0.4900965852864481,3,0.5106314664520147,3,0.5106314664520147,0.5106314664520147
alanine,short,pca,2000,7,3,3,8,0.23096966594938081,14,0.1750682078077177,4,0.43108987220981,3,0.41829896424282687,2,0.4989668022849867,0.41829896424282687
alanine,short,tica,2000,0,3,2,3,0.9116703186016757,6,0.46473721193787215,3,0.9116703186016757,2,0.9463710591960243,2,0.9463710591960243,0.9116703186016757
alanine,short,tica,2000,1,3,3,3,0.9030667742298942,4,0.5123098176581119,2,0.938873350490663,2,0.938873350490663,2,0.938873350490663,0.9030667742298942
alanine,short,tica,2000,2,3,3,3,0.9161516878735254,4,0.5735665522202411,3,0.9161516878735254,2,0.9482876736095727,2,0.9482876736095727,0.9161516878735254
alanine,short,tica,2000,3,3,2,3,0.9194357725329645,7,0.4064187786636746,3,0.9194357725329645,2,0.9599701406703866,2,0.9599701406703866,0.9194357725329645
alanine,short,tica,2000,4,3,3,4,0.5851711095415947,4,0.5851711095415947,3,0.9109408454630048,2,0.9583915940327282,2,0.9583915940327282,0.9109408454630048
alanine,short,tica,2000,5,3,2,3,0.905919929661518,4,0.626073761619964,2,0.9597241505298802,2,0.9597241505298802,2,0.9597241505298802,0.905919929661518
alanine,short,tica,2000,6,3,2,4,0.4487758970488074,4,0.4487758970488074,2,0.9560272712458195,2,0.9560272712458195,2,0.9560272712458195,0.5077692621530184
alanine,short,tica,2000,7,3,3,5,0.8724492610631503,11,0.46264317937396393,4,0.8987227069257439,4,0.8987227069257439,3,0.9925643554937853,0.9925643554937853
alanine,short,vae,2000,0,3,2,3,0.5791404962035123,15,0.11942205211775157,1,0.0,3,0.5791404962035123,2,0.8943275644727009,0.5791404962035123
alanine,short,vae,2000,1,3,3,4,0.2950397045986274,13,0.10418851680707009,1,0.0,3,0.3901182179020027,2,0.6473638318876338,0.3901182179020027
alanine,short,vae,2000,2,3,3,3,0.5605897186512723,14,0.11702485146714738,1,0.0,3,0.5605897186512723,3,0.5605897186512723,0.5605897186512723
alanine,short,vae,2000,3,3,2,4,0.44445189774722343,13,0.14035127789202667,1,0.0,3,0.5174079441146893,2,0.7298532388695619,0.5174079441146893
alanine,short,vae,2000,4,3,3,3,0.5157458430864078,14,0.10155653818301044,1,0.0,3,0.5157458430864078,3,0.5157458430864078,0.5157458430864078
alanine,short,vae,2000,5,3,2,3,0.5223642933755599,9,0.19207967496769202,1,0.0,3,0.5223642933755599,3,0.5223642933755599,0.5223642933755599
alanine,short,vae,2000,6,3,2,3,0.4212698672673472,13,0.10699622544814456,1,0.0,3,0.4212698672673472,3,0.4212698672673472,0.4212698672673472
alanine,short,vae,2000,7,3,3,6,0.553692660357053,14,0.2626831467122734,1,0.0,3,0.5233652999667726,3,0.5233652999667726,0.5233652999667726
alanine,short,pca,4000,0,3,3,9,0.2114482059203174,12,0.15483305010606913,4,0.5232232434782722,3,0.5659894951539747,3,0.5659894951539747,0.5659894951539747
alanine,short,pca,4000,1,3,3,8,0.21648182215896214,15,0.10638715286724618,3,0.5357235292304379,3,0.5357235292304379,3,0.5357235292304379,0.5357235292304379
alanine,short,pca,4000,2,3,3,9,0.2074298165685199,15,0.12162371323505,3,0.5547229179823473,3,0.5547229179823473,3,0.5547229179823473,0.5547229179823473
alanine,short,pca,4000,3,3,2,8,0.267098903243381,15,0.12538488801397585,4,0.5172291139002798,3,0.5635003701747886,3,0.5635003701747886,0.5635003701747886
alanine,short,pca,4000,4,3,3,7,0.26685583440647803,15,0.1014814342650333,4,0.47707261965370407,3,0.5041765905118533,3,0.5041765905118533,0.5041765905118533
alanine,short,pca,4000,5,3,2,9,0.2041414122705084,14,0.13240969355888438,4,0.5187074079941046,3,0.5591227340117307,3,0.5591227340117307,0.5591227340117307
alanine,short,pca,4000,6,3,2,7,0.24725269671015113,15,0.10888796698141118,3,0.5277579114311478,3,0.5277579114311478,3,0.5277579114311478,0.5277579114311478
alanine,short,pca,4000,7,3,3,9,0.18209421094933323,14,0.11741895559540005,3,0.4586122900019154,3,0.4586122900019154,2,0.44149382670074705,0.4586122900019154
alanine,short,tica,4000,0,3,3,4,0.6490553869170801,8,0.2658156026181953,3,0.8984064653265451,2,0.9269944521169539,2,0.9269944521169539,0.8984064653265451
alanine,short,tica,4000,1,3,3,3,0.9035512359461023,6,0.32770151151188964,3,0.9035512359461023,2,0.9439685601896433,2,0.9439685601896433,0.9035512359461023
alanine,short,tica,4000,2,3,3,5,0.5295450069673333,5,0.5295450069673333,3,0.9051179088114105,2,0.9490541713119126,2,0.9490541713119126,0.9051179088114105
alanine,short,tica,4000,3,3,2,4,0.6437358709762658,4,0.6437358709762658,3,0.9100926181993995,2,0.9452654887414857,2,0.9452654887414857,0.9100926181993995
alanine,short,tica,4000,4,3,3,4,0.6585991772000737,7,0.2757759413742152,3,0.8847678046296065,2,0.9388588276275105,2,0.9388588276275105,0.8847678046296065
alanine,short,tica,4000,5,3,2,4,0.6920555697737973,5,0.5791036416863322,3,0.9040182979172067,2,0.9538717750140975,2,0.9538717750140975,0.9040182979172067
alanine,short,tica,4000,6,3,2,3,0.9112043790395856,8,0.24278431483089177,3,0.9112043790395856,2,0.9438443310922894,2,0.9438443310922894,0.9112043790395856
alanine,short,tica,4000,7,3,3,8,0.40304832508971283,12,0.32726819112981687,4,0.7916777803211569,4,0.7916777803211569,4,0.7916777803211569,0.7601552847790138
alanine,short,vae,4000,0,3,3,5,0.3281198724713138,15,0.11513427497480563,1,0.0,3,0.5629300804062378,3,0.5629300804062378,0.5629300804062378
alanine,short,vae,4000,1,3,3,5,0.2969713263409135,14,0.10504354517758065,1,0.0,3,0.525612767583208,3,0.525612767583208,0.525612767583208
alanine,short,vae,4000,2,3,3,4,0.37027228843805204,14,0.11458702924767598,1,0.0,3,0.5438412532035972,3,0.5438412532035972,0.5438412532035972
alanine,short,vae,4000,3,3,2,3,0.5016634404473816,14,0.11998263853716347,1,0.0,3,0.5016634404473816,3,0.5016634404473816,0.5016634404473816
alanine,short,vae,4000,4,3,3,10,0.14980322712961147,10,0.14980322712961147,1,0.0,3,0.5187054634520735,3,0.5187054634520735,0.5187054634520735
alanine,short,vae,4000,5,3,2,7,0.24548924781839537,13,0.12941416055773822,1,0.0,3,0.5449498229623054,2,0.916666178920883,0.5449498229623054
alanine,short,vae,4000,6,3,2,4,0.33563989878529826,15,0.09821691332866782,1,0.0,3,0.5282324984371682,3,0.5282324984371682,0.5282324984371682
alanine,short,vae,4000,7,3,3,12,0.1727856716811575,14,0.15899697905988205,1,0.0,2,0.6365340914913048,2,0.6365340914913048,0.31649572638383683
alanine,short,pca,8000,0,3,3,10,0.18088490036656438,15,0.13142358074780763,4,0.5150276710420525,3,0.5559184385588939,3,0.5559184385588939,0.5559184385588939
alanine,short,pca,8000,1,3,3,8,0.1957061485263647,15,0.10686830396349573,4,0.5062601220729219,3,0.5360830727111411,3,0.5360830727111411,0.5360830727111411
alanine,short,pca,8000,2,3,3,9,0.2126451454405478,15,0.12903850220320798,4,0.5197631684130242,3,0.5602508658151449,3,0.5602508658151449,0.5602508658151449
alanine,short,pca,8000,3,3,3,11,0.17138097107302638,15,0.12365213245268675,4,0.530836757133474,3,0.5800905272206603,3,0.5800905272206603,0.5800905272206603
alanine,short,pca,8000,4,3,3,12,0.1520997037641627,13,0.13048857627009608,4,0.5175317369665773,3,0.5576844493296765,3,0.5576844493296765,0.5576844493296765
alanine,short,pca,8000,5,3,2,9,0.22733092648029116,14,0.1308066857983396,4,0.5409185178460594,3,0.5888253909979538,3,0.5888253909979538,0.5888253909979538
alanine,short,pca,8000,6,3,3,9,0.18549432649379613,15,0.11244923381827993,4,0.5062700362607048,3,0.5390913405013675,3,0.5390913405013675,0.5390913405013675
alanine,short,pca,8000,7,3,3,13,0.13434408099729656,14,0.12355053813671309,4,0.4287658586437493,2,0.49805614175826196,2,0.49805614175826196,0.4777351332895069
alanine,short,tica,8000,0,3,3,4,0.5698696498822081,9,0.3158474091456342,3,0.8838151868314098,2,0.9368142646662811,2,0.9368142646662811,0.8838151868314098
alanine,short,tica,8000,1,3,3,4,0.7132737942903025,13,0.16668432925914095,3,0.894003693750409,2,0.9435705028661049,2,0.9435705028661049,0.894003693750409
alanine,short,tica,8000,2,3,3,8,0.26108564645956717,12,0.1853799134877172,3,0.8937378273290693,2,0.9398281352512257,2,0.9398281352512257,0.8937378273290693
alanine,short,tica,8000,3,3,3,4,0.595043632123703,14,0.15061279909495262,3,0.9006597462641868,2,0.9421907112962407,2,0.9421907112962407,0.9006597462641868
alanine,short,tica,8000,4,3,3,6,0.4948850393024377,6,0.4948850393024377,3,0.8885373199411905,2,0.9515571936477017,2,0.9515571936477017,0.8885373199411905
alanine,short,tica,8000,5,3,2,4,0.7253929986161188,7,0.40214233421906986,3,0.9012605269653803,2,0.9571101383468982,2,0.9571101383468982,0.9012605269653803
alanine,short,tica,8000,6,3,3,5,0.46306139815611347,5,0.46306139815611347,3,0.8907000860698956,2,0.9452060828094412,2,0.9452060828094412,0.8907000860698956
alanine,short,tica,8000,7,3,3,11,0.34760653096268734,13,0.2709792826890064,4,0.825569930548938,4,0.825569930548938,4,0.825569930548938,0.787874303082192
alanine,short,vae,8000,0,3,3,9,0.18809856291265153,14,0.12058627716781463,1,0.0,3,0.5404883122498406,3,0.5404883122498406,0.5404883122498406
alanine,short,vae,8000,1,3,3,5,0.27297508670113985,15,0.09750606192362653,1,0.0,3,0.5083694266980046,3,0.5083694266980046,0.5083694266980046
alanine,short,vae,8000,2,3,3,11,0.1553655354290409,14,0.1323891826774776,1,0.0,3,0.5705254571335648,3,0.5705254571335648,0.5705254571335648
alanine,short,vae,8000,3,3,3,8,0.20454465961432364,15,0.1235330082224828,1,0.0,3,0.5666339893393624,2,0.7851194546246367,0.5666339893393624
alanine,short,vae,8000,4,3,3,6,0.2756192476843898,12,0.13376181216217575,1,0.0,3,0.5283938706643537,3,0.5283938706643537,0.5283938706643537
alanine,short,vae,8000,5,3,2,9,0.21651422516385552,15,0.12818623163059603,1,0.0,3,0.5633612146515656,2,0.9340744280279265,0.5633612146515656
