potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,1000,50,6,950,4,1,0.0,0.07469226560440692,False,1.6642920970916748
prinz1d,1000,50,7,950,4,1,0.0,0.011270942638025966,False,1.8132297992706299
prinz1d,1000,50,8,950,4,1,0.0,0.016250661695612754,False,1.585099458694458
prinz1d,1000,50,9,950,4,1,0.0,0.02890559204946171,False,1.7055611610412598
prinz1d,1000,100,0,900,4,1,0.0,0.029620378506693915,False,1.557492971420288
prinz1d,1000,100,1,900,4,1,0.0,0.03684488271698071,False,1.7352521419525146
prinz1d,1000,100,2,900,4,1,0.0,0.11420638931789676,False,1.5470201969146729
prinz1d,1000,100,3,900,4,1,0.0,0.037491679126228486,False,1.590144395828247
prinz1d,1000,100,4,900,4,2,0.26347288690813264,0.1765601365801146,False,1.8987267017364502
prinz1d,1000,100,5,900,4,1,0.0,0.06074221980778876,False,1.6107535362243652
prinz1d,1000,100,6,900,4,2,0.24778853792567568,0.17933440184428825,False,1.7074663639068604
prinz1d,1000,100,7,900,4,1,0.0,0.01923533365492769,False,1.650562047958374
prinz1d,1000,100,8,900,4,1,0.0,0.0151420485410536,False,1.5356905460357666
prinz1d,1000,100,9,900,4,1,0.0,0.01898443447184302,False,1.4825432300567627
prinz1d,2000,5,0,1995,4,4,0.49263762659412247,0.49263762659412247,False,2.8364975452423096
prinz1d,2000,5,1,1995,4,4,0.49693445016754545,0.49693445016754545,False,4.222078084945679
prinz1d,2000,5,2,1995,4,5,0.4918559871295058,0.38694273424244413,False,3.441286087036133
prinz1d,2000,5,3,1995,4,4,0.5544915901228724,0.5544915901228724,False,3.4004111289978027
prinz1d,2000,5,4,1995,4,4,0.5823602415769542,0.5823602415769542,False,3.907636880874634
prinz1d,2000,5,5,1995,4,4,0.6799662649276362,0.6799662649276362,False,3.547146797180176
prinz1d,2000,5,6,1995,4,3,0.4666144497691081,0.45082541764945055,False,3.6161603927612305
prinz1d,2000,5,7,1995,4,4,0.5379178565779464,0.5379178565779464,False,3.8129327297210693
prinz1d,2000,5,8,1995,4,4,0.5105250420013856,0.5105250420013856,False,3.7671380043029785
prinz1d,2000,5,9,1995,4,4,0.5869717151852862,0.5869717151852862,False,3.2870447635650635
prinz1d,2000,10,0,1990,4,4,0.4103665509087886,0.4103665509087886,False,2.902012825012207
prinz1d,2000,10,1,1990,4,2,0.49803732954311924,0.3375270817045368,False,2.5929696559906006
prinz1d,2000,10,2,1990,4,3,0.444660881814743,0.4146795811070667,False,3.0055575370788574
prinz1d,2000,10,3,1990,4,2,0.4764203252684111,0.3991692882211644,False,2.5683300495147705
prinz1d,2000,10,4,1990,4,3,0.509317452319844,0.41568726255096283,False,2.7227227687835693
prinz1d,2000,10,5,1990,4,3,0.5042154394447012,0.46261780092532795,False,2.7776224613189697
prinz1d,2000,10,6,1990,4,2,0.4543325160954011,0.3336112617999837,False,2.553298234939575
prinz1d,2000,10,7,1990,4,4,0.521453080490544,0.521453080490544,False,3.0390095710754395
prinz1d,2000,10,8,1990,4,2,0.47659336903538135,0.33019250437748676,False,2.4879801273345947
prinz1d,2000,10,9,1990,4,2,0.5143219494685621,0.33833973216563995,False,2.4791722297668457
prinz1d,2000,20,0,1980,4,2,0.2850073868023763,0.19641220472649162,False,2.769695520401001
prinz1d,2000,20,1,1980,4,2,0.4150024428713533,0.29789987365251747,False,2.5995709896087646
prinz1d,2000,20,2,1980,4,2,0.3736100538218904,0.2910919219602496,False,2.71296763420105
prinz1d,2000,20,3,1980,4,2,0.4445068872087108,0.3127191310301969,False,2.688793182373047
prinz1d,2000,20,4,1980,4,2,0.19707177435671477,0.1770767260610844,False,2.6668715476989746
